GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master)
-891039127,Descent2e,0,ABOUT_TO_START,0,0,5,48,"(9,6)","(1,15)","(10,6)","(10,4)","(2,15)","(2,16)","(1,16)","(4,4)","(2,7)","(4,5)","(4,3)","(3,7)","(11,4)"
2123069208,Descent2e,0,ABOUT_TO_START,0,0,5,49,"(6,5)","(1,16)","(9,4)","(6,2)","(2,15)","(1,15)","(2,16)","(5,5)","(2,6)","(3,5)","(2,7)","(5,7)","(7,2)"
1192330975,Descent2e,0,ABOUT_TO_START,0,0,5,50,"(7,2)","(1,15)","(6,4)","(9,4)","(2,16)","(2,15)","(1,16)","(4,3)","(3,5)","(4,5)","(5,2)","(2,2)","(10,5)"
2054686520,Descent2e,0,ABOUT_TO_START,0,0,5,51,"(9,5)","(1,15)","(7,3)","(8,2)","(2,16)","(1,16)","(2,15)","(5,4)","(4,3)","(5,6)","(5,5)","(2,3)","(11,5)"
317141275,Descent2e,0,ABOUT_TO_START,0,0,5,52,"(8,3)","(2,15)","(9,5)","(7,2)","(2,16)","(1,16)","(1,15)","(3,4)","(5,2)","(3,6)","(5,5)","(5,7)","(10,6)"
-589542030,Descent2e,0,ABOUT_TO_START,0,0,5,53,"(8,6)","(1,15)","(8,2)","(6,4)","(1,16)","(2,15)","(2,16)","(3,6)","(3,3)","(2,3)","(3,2)","(5,5)","(11,5)"
1791957809,Descent2e,0,ABOUT_TO_START,0,0,5,54,"(10,3)","(2,15)","(8,2)","(6,3)","(1,16)","(1,15)","(2,16)","(3,5)","(3,4)","(3,6)","(2,3)","(4,3)","(7,2)"
1058629402,Descent2e,0,ABOUT_TO_START,0,0,5,55,"(8,2)","(1,16)","(9,6)","(7,2)","(1,15)","(2,15)","(2,16)","(4,2)","(2,2)","(3,2)","(2,6)","(2,4)","(11,6)"
142151403,Descent2e,0,ABOUT_TO_START,0,0,5,56,"(9,3)","(2,15)","(10,4)","(11,5)","(1,15)","(2,16)","(1,16)","(4,4)","(3,7)","(3,2)","(3,5)","(3,4)","(10,6)"
-1545696438,Descent2e,0,ABOUT_TO_START,0,0,5,57,"(11,5)","(2,16)","(7,2)","(8,6)","(1,15)","(2,15)","(1,16)","(3,3)","(2,5)","(4,4)","(5,4)","(5,7)","(10,4)"
1166734279,Descent2e,0,ABOUT_TO_START,0,0,5,58,"(7,2)","(2,15)","(6,2)","(9,2)","(1,16)","(2,16)","(1,15)","(5,5)","(4,4)","(2,7)","(5,2)","(5,7)","(10,4)"
1455864387,Descent2e,0,ABOUT_TO_START,0,0,5,59,"(9,5)","(2,16)","(9,2)","(6,5)","(1,16)","(1,15)","(2,15)","(3,7)","(3,2)","(4,4)","(4,3)","(3,3)","(10,6)"
-272020745,Descent2e,0,ABOUT_TO_START,0,0,5,60,"(7,3)","(2,15)","(9,3)","(6,4)","(1,16)","(1,15)","(2,16)","(2,3)","(4,3)","(5,4)","(5,5)","(4,5)","(11,4)"
125544037,Descent2e,0,ABOUT_TO_START,0,0,5,61,"(9,3)","(1,16)","(7,4)","(6,2)","(2,15)","(1,15)","(2,16)","(4,6)","(5,6)","(3,4)","(3,5)","(5,2)","(11,6)"
-17416001,Descent2e,0,ABOUT_TO_START,0,0,5,62,"(9,3)","(1,15)","(8,2)","(10,4)","(1,16)","(2,16)","(2,15)","(2,3)","(2,4)","(3,5)","(5,2)","(5,5)","(6,3)"
1780256839,Descent2e,0,ABOUT_TO_START,0,0,5,63,"(10,6)","(2,16)","(8,2)","(10,4)","(2,15)","(1,16)","(1,15)","(5,5)","(3,5)","(4,3)","(3,3)","(2,3)","(9,3)"
-1001828439,Descent2e,0,ABOUT_TO_START,0,0,5,64,"(11,4)","(2,15)","(6,3)","(7,4)","(2,16)","(1,16)","(1,15)","(4,6)","(3,5)","(5,3)","(2,4)","(4,4)","(9,5)"
-832320528,Descent2e,0,ABOUT_TO_START,0,0,5,65,"(11,4)","(2,16)","(8,6)","(8,3)","(1,15)","(1,16)","(2,15)","(5,6)","(4,7)","(3,2)","(5,7)","(2,3)","(9,5)"
101538150,Descent2e,0,ABOUT_TO_START,0,0,5,66,"(8,6)","(1,15)","(9,4)","(10,4)","(2,16)","(1,16)","(2,15)","(4,3)","(4,6)","(3,5)","(5,2)","(3,6)","(11,6)"
1526373207,Descent2e,0,ABOUT_TO_START,0,0,5,67,"(8,6)","(2,15)","(10,3)","(10,5)","(1,15)","(1,16)","(2,16)","(5,3)","(4,2)","(2,3)","(3,2)","(5,6)","(11,4)"
-1719831984,Descent2e,0,ABOUT_TO_START,0,0,5,68,"(9,2)","(1,15)","(10,4)","(7,4)","(2,16)","(1,16)","(2,15)","(5,5)","(4,5)","(3,5)","(4,2)","(5,2)","(11,5)"
461539965,Descent2e,0,ABOUT_TO_START,0,0,5,69,"(6,4)","(2,16)","(9,4)","(7,3)","(1,16)","(1,15)","(2,15)","(4,4)","(3,2)","(5,7)","(3,7)","(2,5)","(11,6)"
-600590354,Descent2e,0,ABOUT_TO_START,0,0,5,70,"(9,5)","(2,15)","(7,2)","(10,4)","(2,16)","(1,16)","(1,15)","(3,7)","(5,6)","(3,2)","(2,7)","(3,4)","(6,3)"
92378088,Descent2e,0,ABOUT_TO_START,0,0,5,71,"(6,3)","(2,16)","(7,4)","(7,2)","(1,15)","(1,16)","(2,15)","(4,2)","(4,3)","(3,7)","(3,5)","(5,6)","(11,4)"
