GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
1718144275,Descent2e,20,GAME_OVER,233,0,3,77,8,4,5,2,2,,,,,12,,6,,8
1776530246,Descent2e,5,GAME_OVER,114,0,3,78,14,4,7,2,2,,,,,8,,6,,8
-1385807378,Descent2e,4,GAME_OVER,69,1,3,79,10,4,7,2,2,,,,,12,,6,,8
-1502554794,Descent2e,5,GAME_OVER,93,0,3,80,8,4,7,2,2,,,,,12,,6,,8
641845849,Descent2e,7,GAME_OVER,104,0,3,81,8,4,7,2,2,,,,,12,,6,,8
-866513615,Descent2e,6,GAME_OVER,98,2,3,82,10,4,7,2,2,,,,,12,,6,,8
-1483389116,Descent2e,20,GAME_OVER,241,0,3,83,8,4,1,2,2,,,,,14,,6,,8
39673420,Descent2e,20,GAME_OVER,238,0,3,84,12,4,5,2,2,,,,,14,,6,,8
-1063055229,Descent2e,20,GAME_OVER,251,0,3,85,12,4,5,2,2,,,,,8,,6,,8
-625564380,Descent2e,4,GAME_OVER,82,2,3,86,8,4,7,2,2,,,,,14,,6,,8
-460677830,Descent2e,6,GAME_OVER,99,0,3,87,14,4,7,2,2,,,,,10,,6,,8
1831059179,Descent2e,6,GAME_OVER,101,0,3,88,12,4,7,1,2,,,,,8,,6,,8
-918428086,Descent2e,6,GAME_OVER,86,0,3,89,8,4,7,2,2,,,,,14,,6,,8
369176540,Descent2e,5,GAME_OVER,90,0,3,90,6,4,7,2,2,,,,,10,,6,,8
1415771007,Descent2e,20,GAME_OVER,282,0,3,91,10,4,3,2,2,,,,,12,,6,,8
2059795838,Descent2e,4,GAME_OVER,82,0,3,92,8,4,7,2,2,,,,,12,,6,,8
-1953847921,Descent2e,5,GAME_OVER,78,0,3,93,8,4,7,2,2,,,,,10,,6,,8
1660066343,Descent2e,5,GAME_OVER,98,1,3,94,10,1,7,1,2,,,,,10,,6,,8
-1735822804,Descent2e,4,GAME_OVER,87,2,3,95,8,4,7,2,2,,,,,8,,6,,8
37667191,Descent2e,4,GAME_OVER,80,0,3,96,14,4,7,2,2,,,,,10,,6,,8
-1375388495,Descent2e,7,GAME_OVER,111,0,3,97,8,4,7,2,2,,,,,14,,6,,8
-111046234,Descent2e,6,GAME_OVER,139,1,3,98,10,4,7,1,2,,,,,9,,6,,3
-2072113863,Descent2e,4,GAME_OVER,83,0,3,99,2,3,7,2,2,,,,,0,,6,,8
-1478683689,Descent2e,20,GAME_OVER,272,0,3,100,14,4,6,2,2,,,,,10,,6,,8
-1636830946,Descent2e,5,GAME_OVER,76,0,3,101,12,4,7,2,2,,,,,8,,6,,8
