GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-2,PlayerName-1,PlayerName-2
-774741157,Descent2e,6,GAME_OVER,129,0,3,44,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1130916543,Descent2e,6,GAME_OVER,90,0,3,45,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1030846435,Descent2e,4,GAME_OVER,66,0,3,46,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1745717418,Descent2e,5,GAME_OVER,86,0,3,47,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
210251654,Descent2e,19,GAME_OVER,393,0,3,48,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1281305129,Descent2e,20,GAME_OVER,316,0,3,49,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1140038455,Descent2e,7,GAME_OVER,113,0,3,50,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1735876788,Descent2e,4,GAME_OVER,74,0,3,51,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
525184132,Descent2e,5,GAME_OVER,130,0,3,52,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
2004361509,Descent2e,5,GAME_OVER,98,1,3,53,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
110878610,Descent2e,7,GAME_OVER,124,2,3,54,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1543328477,Descent2e,20,GAME_OVER,268,0,3,55,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1089269642,Descent2e,5,GAME_OVER,87,0,3,56,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-2129000077,Descent2e,20,GAME_OVER,303,0,3,57,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-577028418,Descent2e,5,GAME_OVER,86,2,3,58,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1957619555,Descent2e,20,GAME_OVER,279,0,3,59,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
431636578,Descent2e,5,GAME_OVER,84,0,3,60,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
