GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter(RoundCounter),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-4),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3),GameScore(PlayerName-4)
2094340922,Descent2e,1,ROUND_OVER,91,13,5,7,,"(8,2)","(2,16)","(11,4)","(8,6)","(1,15)","(4,17)","(6,14)","(2,7)","(4,7)","(3,6)","(5,7)","(3,16)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2094340922,Descent2e,2,ROUND_OVER,108,13,5,7,,"(8,2)","(2,16)","(11,4)","(7,3)","(1,15)","(4,17)","(6,14)","(2,7)","(4,7)","(3,6)","(5,7)","(3,16)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2094340922,Descent2e,3,ROUND_OVER,121,13,5,7,,"(8,2)","(2,16)","(11,4)","(7,3)","(1,15)","(4,17)","(6,14)","(2,7)","(4,7)","(3,6)","(5,7)","(3,16)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2094340922,Descent2e,4,ROUND_OVER,147,13,5,7,,"(8,2)","(2,16)","(11,5)","(7,3)","(1,15)","(4,17)","(4,16)","(2,7)","(4,7)","(3,6)","(5,7)","(3,16)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2111452579,Descent2e,0,ROUND_OVER,28,13,5,8,,"(10,6)","(1,16)","(9,3)","(9,6)","(2,15)","(1,15)","(5,17)","(3,6)","(5,8)","(3,10)","(3,8)","(5,7)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2111452579,Descent2e,1,ROUND_OVER,70,13,5,8,,"(10,6)","(2,16)","(9,3)","(9,6)","(1,16)","(1,15)","(5,17)","(3,10)","(5,8)","(4,12)","(5,10)","(5,7)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2111452579,Descent2e,2,ROUND_OVER,96,13,5,8,,"(10,6)","(2,16)","(9,3)","(9,6)","(1,16)","(2,15)","(5,17)","(3,10)","(5,8)","(3,16)","(5,12)","(5,7)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2111452579,Descent2e,3,ROUND_OVER,117,13,5,8,,"(10,6)","(2,16)","(9,3)","(9,6)","(1,16)","(2,15)","(4,16)","(3,10)","(5,8)","(3,16)","(5,12)","(5,7)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2111452579,Descent2e,4,ROUND_OVER,131,13,5,8,,"(10,6)","(2,16)","(9,3)","(9,6)","(1,16)","(2,15)","(4,16)","(3,10)","(5,8)","(3,16)","(5,12)","(5,7)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2111452579,Descent2e,5,ROUND_OVER,159,13,5,8,,"(10,6)","(2,16)","(9,3)","(9,6)","(1,16)","(2,15)","(5,16)","(3,10)","(5,8)","(3,16)","(5,12)","(5,7)","(10,3)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1492245547,Descent2e,0,ROUND_OVER,34,13,5,9,,"(7,2)","(1,15)","(8,6)","(11,4)","(1,16)","(2,15)","(5,16)","(2,6)","(3,8)","(6,14)","(5,7)","(7,9)","(6,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1492245547,Descent2e,1,ROUND_OVER,50,13,5,9,,"(7,2)","(1,15)","(8,6)","(11,4)","(1,16)","(2,15)","(5,16)","(2,6)","(3,8)","(6,14)","(5,7)","(9,14)","(6,2)",0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
