GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3),Winner(PlayerIdx)
866989620,Descent2e,5,GAME_OVER,93,0,4,30,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(11,4)","(1,16)",,"(6,4)","(3,13)","(1,15)",,"(5,16)",,"(3,7)","(3,6)","(4,8)","(9,6)",8,4,7,2,2,10,,2,,14,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-47842161,Descent2e,20,GAME_OVER,381,0,4,31,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,timeout,"(5,2)","(4,12)",,"(9,5)","(5,14)","(3,17)",,"(6,6)",,"(7,5)","(6,2)","(2,3)","(11,7)",8,4,6,2,2,12,,2,,6,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,-1
-244636835,Descent2e,8,GAME_OVER,192,0,4,32,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,3)","(3,17)",,"(4,4)","(5,15)","(1,16)",,"(2,7)",,"(2,6)","(4,7)","(4,15)","(9,4)",8,4,7,2,2,10,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-410429852,Descent2e,5,GAME_OVER,105,0,4,33,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,5)","(2,15)",,"(6,2)","(3,12)","(1,16)",,"(4,8)",,"(3,16)","(3,7)","(5,5)","(6,5)",10,4,7,2,2,10,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
25608568,Descent2e,5,GAME_OVER,99,0,4,34,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,4)","(1,15)",,"(10,6)","(3,14)","(2,16)",,"(6,4)",,"(5,8)","(4,7)","(6,14)","(8,3)",8,4,7,2,2,12,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-315373361,Descent2e,5,GAME_OVER,92,0,4,35,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(6,3)","(1,15)",,"(10,4)","(8,9)","(1,16)",,"(5,5)",,"(6,16)","(4,6)","(4,14)","(9,5)",10,4,7,2,2,14,,2,,8,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1721235730,Descent2e,5,GAME_OVER,110,0,4,36,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(5,3)","(2,16)",,"(9,5)","(1,15)","(3,17)",,"(5,7)",,"(3,7)","(5,17)","(3,6)","(7,2)",8,4,7,2,2,10,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1756951828,Descent2e,5,GAME_OVER,118,0,4,37,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(4,5)","(1,15)",,"(7,2)","(6,16)","(4,14)",,"(5,6)",,"(5,14)","(5,10)","(3,10)","(7,7)",12,4,7,2,2,10,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
172730667,Descent2e,5,GAME_OVER,124,0,4,38,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,5)","(1,15)",,"(9,4)","(5,13)","(3,14)",,"(4,7)",,"(2,7)","(3,8)","(6,17)","(8,3)",14,4,7,2,2,10,,2,,10,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-26441638,Descent2e,8,GAME_OVER,158,0,4,39,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(6,2)","(1,15)",,"(11,5)","(4,12)","(2,15)",,"(2,7)",,"(4,8)","(4,7)","(3,14)","(9,5)",10,4,7,2,2,14,,2,,12,6,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,0
