GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
-790542024,Descent2e,5,GAME_OVER,95,1,4,79,14,4,7,2,2,12,,2,,10,6,6,,8
1632740047,Descent2e,6,GAME_OVER,135,0,4,80,12,1,7,2,2,14,,2,,8,6,6,,8
743913869,Descent2e,4,GAME_OVER,78,0,4,81,10,4,7,2,2,8,,2,,14,6,6,,8
-158315121,Descent2e,5,GAME_OVER,118,0,4,82,8,4,7,2,2,12,,2,,8,6,6,,8
1270805651,Descent2e,4,GAME_OVER,69,0,4,83,8,4,7,2,2,10,,2,,12,6,6,,8
732526831,Descent2e,5,GAME_OVER,96,3,4,84,14,4,7,2,2,12,,2,,8,6,6,,8
-155048468,Descent2e,5,GAME_OVER,86,0,4,85,10,4,7,2,2,10,,2,,8,6,6,,8
-432560100,Descent2e,5,GAME_OVER,132,0,4,86,14,2,7,2,2,12,,2,,8,6,6,,8
1277076695,Descent2e,7,GAME_OVER,139,0,4,87,14,4,7,2,2,10,,2,,10,6,6,,8
-2005341752,Descent2e,5,GAME_OVER,108,0,4,88,10,4,7,1,2,10,,2,,12,6,6,,8
-1211112216,Descent2e,6,GAME_OVER,121,0,4,89,12,4,7,2,2,14,,2,,8,6,6,,8
-1796206592,Descent2e,6,GAME_OVER,132,0,4,90,10,4,7,2,2,12,,2,,8,6,6,,8
652297104,Descent2e,6,GAME_OVER,135,0,4,91,10,2,7,2,2,14,,2,,12,6,6,,8
-1817228092,Descent2e,5,GAME_OVER,95,0,4,92,10,3,7,2,2,12,,2,,14,6,6,,8
-1308411128,Descent2e,7,GAME_OVER,137,0,4,93,8,4,7,2,2,10,,2,,12,6,6,,8
-1167325909,Descent2e,5,GAME_OVER,114,0,4,94,14,4,7,2,2,10,,2,,8,6,6,,8
31869529,Descent2e,4,GAME_OVER,109,0,4,95,8,4,7,2,2,8,,2,,7,6,6,,8
1654391629,Descent2e,4,GAME_OVER,90,0,4,96,12,4,7,2,2,10,,2,,8,6,6,,8
-1868522600,Descent2e,5,GAME_OVER,103,0,4,97,14,4,7,2,2,8,,2,,8,6,6,,8
-1686237354,Descent2e,7,GAME_OVER,139,0,4,98,12,4,7,2,2,12,,2,,8,6,6,,8
-188126062,Descent2e,6,GAME_OVER,126,0,4,99,14,2,7,2,2,9,,2,,10,6,6,,8
-451448212,Descent2e,6,GAME_OVER,119,3,4,100,10,4,7,2,2,8,,2,,12,6,6,,8
1905904503,Descent2e,4,GAME_OVER,82,0,4,101,12,4,7,2,2,8,,2,,8,6,6,,8
