GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,PlayerName-1
2076401020,Descent2e,5,GAME_OVER,100,0,2,53,BasicMCTS,0.0,0.0,BasicMCTS
-1570492476,Descent2e,5,GAME_OVER,131,2,2,54,BasicMCTS,0.0,0.0,BasicMCTS
-1426917644,Descent2e,15,GAME_OVER,253,2,2,55,BasicMCTS,0.0,0.0,BasicMCTS
-12320489,Descent2e,20,GAME_OVER,233,0,2,56,BasicMCTS,0.0,0.0,BasicMCTS
-954669208,Descent2e,20,GAME_OVER,231,0,2,57,BasicMCTS,0.0,0.0,BasicMCTS
-317495364,Descent2e,5,GAME_OVER,113,0,2,58,BasicMCTS,0.0,0.0,BasicMCTS
1377843403,Descent2e,20,GAME_OVER,216,0,2,59,BasicMCTS,0.0,0.0,BasicMCTS
350997456,Descent2e,5,GAME_OVER,129,0,2,60,BasicMCTS,0.0,0.0,BasicMCTS
-725504896,Descent2e,5,GAME_OVER,114,0,2,61,BasicMCTS,0.0,0.0,BasicMCTS
1154772717,Descent2e,5,GAME_OVER,134,0,2,62,BasicMCTS,0.0,0.0,BasicMCTS
-639360266,Descent2e,5,GAME_OVER,111,0,2,63,BasicMCTS,0.0,0.0,BasicMCTS
2071934164,Descent2e,4,GAME_OVER,105,0,2,64,BasicMCTS,0.0,0.0,BasicMCTS
580861535,Descent2e,5,GAME_OVER,170,2,2,65,BasicMCTS,0.0,0.0,BasicMCTS
2139714048,Descent2e,8,GAME_OVER,169,0,2,66,BasicMCTS,0.0,0.0,BasicMCTS
1459032824,Descent2e,20,GAME_OVER,318,0,2,67,BasicMCTS,0.0,0.0,BasicMCTS
-2038524901,Descent2e,8,GAME_OVER,167,0,2,68,BasicMCTS,0.0,0.0,BasicMCTS
-1746497854,Descent2e,5,GAME_OVER,96,0,2,69,BasicMCTS,0.0,0.0,BasicMCTS
708812394,Descent2e,5,GAME_OVER,106,1,2,70,BasicMCTS,0.0,0.0,BasicMCTS
1472007076,Descent2e,5,GAME_OVER,96,0,2,71,BasicMCTS,0.0,0.0,BasicMCTS
-1435654991,Descent2e,6,GAME_OVER,155,0,2,72,BasicMCTS,0.0,0.0,BasicMCTS
-685733318,Descent2e,8,GAME_OVER,157,0,2,73,BasicMCTS,0.0,0.0,BasicMCTS
-1268860653,Descent2e,9,GAME_OVER,169,0,2,74,BasicMCTS,0.0,0.0,BasicMCTS
537932018,Descent2e,8,GAME_OVER,149,0,2,75,BasicMCTS,0.0,0.0,BasicMCTS
-591743488,Descent2e,20,GAME_OVER,214,0,2,76,BasicMCTS,0.0,0.0,BasicMCTS
747448861,Descent2e,19,GAME_OVER,228,0,2,77,BasicMCTS,0.0,0.0,BasicMCTS
384367416,Descent2e,12,GAME_OVER,224,2,2,78,BasicMCTS,0.0,0.0,BasicMCTS
-1709789930,Descent2e,8,GAME_OVER,177,0,2,79,BasicMCTS,0.0,0.0,BasicMCTS
-787403435,Descent2e,6,GAME_OVER,141,2,2,80,BasicMCTS,0.0,0.0,BasicMCTS
-1471073859,Descent2e,20,GAME_OVER,352,0,2,81,BasicMCTS,0.0,0.0,BasicMCTS
-1780393583,Descent2e,5,GAME_OVER,134,0,2,82,BasicMCTS,0.0,0.0,BasicMCTS
1609126606,Descent2e,20,GAME_OVER,282,0,2,83,BasicMCTS,0.0,0.0,BasicMCTS
1217665948,Descent2e,4,GAME_OVER,108,2,2,84,BasicMCTS,0.0,0.0,BasicMCTS
-2052715812,Descent2e,5,GAME_OVER,141,0,2,85,BasicMCTS,0.0,0.0,BasicMCTS
-2102617675,Descent2e,20,GAME_OVER,270,0,2,86,BasicMCTS,0.0,0.0,BasicMCTS
676434171,Descent2e,5,GAME_OVER,98,2,2,87,BasicMCTS,0.0,0.0,BasicMCTS
-335156370,Descent2e,6,GAME_OVER,166,2,2,88,BasicMCTS,0.0,0.0,BasicMCTS
-1748601506,Descent2e,5,GAME_OVER,123,0,2,89,BasicMCTS,0.0,0.0,BasicMCTS
1420024253,Descent2e,20,GAME_OVER,242,0,2,90,BasicMCTS,0.0,0.0,BasicMCTS
641370995,Descent2e,6,GAME_OVER,151,2,2,91,BasicMCTS,0.0,0.0,BasicMCTS
1185835853,Descent2e,5,GAME_OVER,124,0,2,92,BasicMCTS,0.0,0.0,BasicMCTS
969539136,Descent2e,12,GAME_OVER,212,0,2,93,BasicMCTS,0.0,0.0,BasicMCTS
928345640,Descent2e,4,GAME_OVER,134,0,2,94,BasicMCTS,0.0,0.0,BasicMCTS
668626197,Descent2e,5,GAME_OVER,140,0,2,95,BasicMCTS,0.0,0.0,BasicMCTS
757119022,Descent2e,6,GAME_OVER,120,0,2,96,BasicMCTS,0.0,0.0,BasicMCTS
-1957924407,Descent2e,4,GAME_OVER,111,0,2,97,BasicMCTS,0.0,0.0,BasicMCTS
-1369753090,Descent2e,5,GAME_OVER,114,0,2,98,BasicMCTS,0.0,0.0,BasicMCTS
1700153117,Descent2e,5,GAME_OVER,136,0,2,99,BasicMCTS,0.0,0.0,BasicMCTS
-1391014857,Descent2e,20,GAME_OVER,238,0,2,100,BasicMCTS,0.0,0.0,BasicMCTS
1742585086,Descent2e,8,GAME_OVER,210,0,2,101,BasicMCTS,0.0,0.0,BasicMCTS
