GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
1807253165,Descent2e,20,GAME_OVER,284,0,2,51,-1
-107578680,Descent2e,6,GAME_OVER,117,0,2,52,0
2076401020,Descent2e,5,GAME_OVER,100,0,2,53,0
-1570492476,Descent2e,5,GAME_OVER,131,2,2,54,0
-1426917644,Descent2e,15,GAME_OVER,253,2,2,55,0
-12320489,Descent2e,20,GAME_OVER,233,0,2,56,-1
-954669208,Descent2e,20,GAME_OVER,231,0,2,57,-1
-317495364,Descent2e,5,GAME_OVER,113,0,2,58,0
1377843403,Descent2e,20,GAME_OVER,216,0,2,59,-1
350997456,Descent2e,5,GAME_OVER,129,0,2,60,0
-725504896,Descent2e,5,GAME_OVER,114,0,2,61,0
1154772717,Descent2e,5,GAME_OVER,134,0,2,62,0
-639360266,Descent2e,5,GAME_OVER,111,0,2,63,0
2071934164,Descent2e,4,GAME_OVER,105,0,2,64,0
580861535,Descent2e,5,GAME_OVER,170,2,2,65,0
2139714048,Descent2e,8,GAME_OVER,169,0,2,66,0
1459032824,Descent2e,20,GAME_OVER,318,0,2,67,-1
-2038524901,Descent2e,8,GAME_OVER,167,0,2,68,0
-1746497854,Descent2e,5,GAME_OVER,96,0,2,69,0
708812394,Descent2e,5,GAME_OVER,106,1,2,70,0
1472007076,Descent2e,5,GAME_OVER,96,0,2,71,0
-1435654991,Descent2e,6,GAME_OVER,155,0,2,72,0
-685733318,Descent2e,8,GAME_OVER,157,0,2,73,0
-1268860653,Descent2e,9,GAME_OVER,169,0,2,74,0
537932018,Descent2e,8,GAME_OVER,149,0,2,75,0
-591743488,Descent2e,20,GAME_OVER,214,0,2,76,-1
747448861,Descent2e,19,GAME_OVER,228,0,2,77,0
384367416,Descent2e,12,GAME_OVER,224,2,2,78,0
-1709789930,Descent2e,8,GAME_OVER,177,0,2,79,0
-787403435,Descent2e,6,GAME_OVER,141,2,2,80,0
-1471073859,Descent2e,20,GAME_OVER,352,0,2,81,-1
-1780393583,Descent2e,5,GAME_OVER,134,0,2,82,0
1609126606,Descent2e,20,GAME_OVER,282,0,2,83,-1
1217665948,Descent2e,4,GAME_OVER,108,2,2,84,0
-2052715812,Descent2e,5,GAME_OVER,141,0,2,85,0
-2102617675,Descent2e,20,GAME_OVER,270,0,2,86,-1
676434171,Descent2e,5,GAME_OVER,98,2,2,87,0
-335156370,Descent2e,6,GAME_OVER,166,2,2,88,0
-1748601506,Descent2e,5,GAME_OVER,123,0,2,89,0
1420024253,Descent2e,20,GAME_OVER,242,0,2,90,-1
641370995,Descent2e,6,GAME_OVER,151,2,2,91,0
1185835853,Descent2e,5,GAME_OVER,124,0,2,92,0
969539136,Descent2e,12,GAME_OVER,212,0,2,93,0
928345640,Descent2e,4,GAME_OVER,134,0,2,94,0
668626197,Descent2e,5,GAME_OVER,140,0,2,95,0
757119022,Descent2e,6,GAME_OVER,120,0,2,96,0
-1957924407,Descent2e,4,GAME_OVER,111,0,2,97,0
-1369753090,Descent2e,5,GAME_OVER,114,0,2,98,0
1700153117,Descent2e,5,GAME_OVER,136,0,2,99,0
-1391014857,Descent2e,20,GAME_OVER,238,0,2,100,-1
1742585086,Descent2e,8,GAME_OVER,210,0,2,101,0
