GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),Winner(PlayerIdx)
-1064674997,Descent2e,4,GAME_OVER,111,0,2,12,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(6,4)","(5,4)",,,,"(5,14)",,,,"(2,6)","(10,3)","(6,15)","(8,7)",8,2,7,2,2,,,,,14,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
223436599,Descent2e,7,GAME_OVER,103,0,2,13,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(6,2)","(8,6)",,,,"(9,16)",,,,"(3,7)","(5,14)","(4,6)","(10,4)",8,4,7,2,1,,,,,14,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-312833850,Descent2e,5,GAME_OVER,121,1,2,14,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(7,3)","(7,15)",,,,"(11,5)",,,,"(4,7)","(4,8)","(3,14)","(9,5)",12,4,7,2,2,,,,,8,,6,,3,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
113837294,Descent2e,20,GAME_OVER,249,0,2,15,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(11,6)","(6,15)",,,,"(9,13)",,,,"(4,4)","(7,7)","(11,5)","(8,3)",14,4,4,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-2024361174,Descent2e,20,GAME_OVER,256,0,2,16,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(11,5)","(6,15)",,,,"(3,12)",,,,"(10,6)","(6,3)","(9,3)","(8,3)",14,4,2,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-1650823777,Descent2e,5,GAME_OVER,131,0,2,17,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(10,3)","(5,7)",,,,"(8,10)",,,,"(3,6)","(3,16)","(9,8)","(9,5)",8,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1883815596,Descent2e,20,GAME_OVER,283,0,2,18,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(5,3)","(10,12)",,,,"(8,11)",,,,"(8,2)","(8,4)","(10,7)","(8,6)",12,4,6,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-650133693,Descent2e,5,GAME_OVER,129,0,2,19,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,2)","(7,3)",,,,"(5,7)",,,,"(3,8)","(7,2)","(3,16)","(8,3)",12,2,7,2,2,,,,,8,,6,,1,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
669058127,Descent2e,5,GAME_OVER,91,0,2,20,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,2)","(7,16)",,,,"(4,12)",,,,"(2,6)","(3,16)","(5,14)","(11,5)",10,2,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
344875733,Descent2e,20,GAME_OVER,279,0,2,21,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(6,4)","(4,7)",,,,"(4,10)",,,,"(9,5)","(9,6)","(10,4)","(7,3)",12,4,5,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
727886180,Descent2e,8,GAME_OVER,133,0,2,22,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(6,2)","(7,5)",,,,"(4,10)",,,,"(3,10)","(2,7)","(3,15)","(9,2)",8,4,7,2,2,,,,,12,,6,,6,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-1487150373,Descent2e,5,GAME_OVER,115,0,2,23,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,3)","(8,9)",,,,"(6,15)",,,,"(4,7)","(4,14)","(5,4)","(11,5)",8,4,7,2,1,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
15667883,Descent2e,5,GAME_OVER,115,0,2,24,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,6)","(5,9)",,,,"(2,7)",,,,"(6,14)","(9,4)","(6,3)","(11,6)",8,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-910521112,Descent2e,5,GAME_OVER,125,1,2,25,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(5,6)","(10,9)",,,,"(4,14)",,,,"(5,7)","(3,8)","(4,17)","(7,3)",8,3,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
